label,p_img,p_tab,pred_rule,abstain
1,0.435445702882472,0.9564095664493006,1,0
1,0.3922210267887497,0.9610147283984073,1,0
0,0.3829112462373872,0.04945096271798279,0,0
0,0.41740945927422674,0.05798569807230077,0,0
1,0.6034731431590873,0.9610847704475092,1,0
0,0.4010331805768135,0.05909919512894121,0,0
0,0.3848492951234609,0.44167198446280337,-1,1
1,0.4267853926673025,0.9532811861063393,1,0
0,0.39286196167777465,0.06603821153965866,0,0
0,0.4273294300668794,0.049665881300203454,0,0
1,0.5281173677212464,0.9611296624963087,1,0
0,0.4995754402621523,0.370379029733986,-1,1
1,0.5994099808700425,0.9610270545220461,1,0
0,0.4087102351701059,0.04966443913368663,0,0
0,0.41409070650273694,0.23990641402691995,0,0
1,0.4115307447264115,0.9609454465587047,1,0
1,0.4010465091498739,0.956535327746094,1,0
0,0.3459489274518364,0.04960426884031082,0,0
1,0.3840940155777782,0.9610612368424657,1,0
1,0.5198703992778183,0.9610806001077178,1,0
0,0.5131497686965694,0.05006071172190665,0,0
1,0.549516643451494,0.28681998734610137,0,0
1,0.3635144425419104,0.9606659301501285,1,0
0,0.42446181790832616,0.049463505050308505,0,0
0,0.41871396720950343,0.04949733396882925,0,0
0,0.4388858442552556,0.05508971502797862,0,0
0,0.4029283972791222,0.6703362946807929,1,0
0,0.5628449189076801,0.3259713245518943,0,0
1,0.5190696842417175,0.8555789759040731,1,0
1,0.3875748443384551,0.9610694395202699,1,0
0,0.37015268863636314,0.2768357791701977,-1,1
0,0.5626684068042265,0.09433997256033491,0,0
1,0.37044220670249617,0.9604731717725954,1,0
1,0.5584395899265289,0.9609334719179253,1,0
0,0.3719985322107095,0.5284092008534221,0,0
1,0.48677603509137746,0.7801399980027862,1,0
1,0.5431678942429771,0.8591174257733895,1,0
1,0.4786840950079263,0.9605816360973458,1,0
1,0.41727681945918726,0.6867829881341843,1,0
0,0.4286305388226695,0.1775304596799528,0,0
0,0.480755978209693,0.0640570414663416,0,0
0,0.5125491926660358,0.06141780584629001,0,0
1,0.4352937067959256,0.9609849291378424,1,0
0,0.37975021270253534,0.04993548681496639,0,0
1,0.5450302009214584,0.9303504728324514,1,0
0,0.37681529239673167,0.04987495466428256,0,0
0,0.49201122685793136,0.2162795476250571,0,0
0,0.41489429377665543,0.04944060303094004,0,0
1,0.43538468983123557,0.9607498571362605,1,0
0,0.48875182799985134,0.049519345357940024,0,0
1,0.5542260705596025,0.9609980063295138,1,0
0,0.3585783304102921,0.04955768940894931,0,0
1,0.3714668378728223,0.960872202457025,1,0
1,0.3610016216290006,0.9609778695137219,1,0
0,0.4461337497373258,0.3617595655951801,-1,1
1,0.5008066887092139,0.9605440068928739,1,0
0,0.4531482757616707,0.04978474059314438,0,0
1,0.5280641969674728,0.9610417907222059,1,0
1,0.5060012503693129,0.07557069773297372,0,0
0,0.399923747427101,0.0494626473428046,0,0
0,0.5325209690515325,0.0499013747133984,0,0
0,0.36323437090896865,0.04971837185076599,0,0
1,0.5602828614584126,0.3668142441072551,0,0
0,0.3857118340135067,0.04960891501467011,0,0
0,0.39488846502690317,0.04950088886604359,0,0
1,0.42934827815404003,0.9204253072368731,1,0
1,0.5453072056895103,0.960981984277329,1,0
0,0.3663639690144975,0.061146663726234375,0,0
1,0.36120245940031476,0.7029701163110816,1,0
0,0.43642055812022,0.0495360783911714,0,0
0,0.39439130092405905,0.09172053139040637,0,0
0,0.3913433945019023,0.22054367173630887,0,0
1,0.5124089250208871,0.9608610537709443,1,0
1,0.5834283990075254,0.9555549020700527,1,0
1,0.41703356276024744,0.9608520688815274,1,0
0,0.35323818773188287,0.049561936744423433,0,0
1,0.41320576656130464,0.8377212926032382,1,0
1,0.4591782599235451,0.9609978343266374,1,0
1,0.42591894139964126,0.9609969090242027,1,0
1,0.5746781126267564,0.9608569558333498,1,0
1,0.3945010553998925,0.9604431840163509,1,0
1,0.5860562323037105,0.9394865236748786,1,0
0,0.34894695818219784,0.05109650126173228,0,0
1,0.3856902751704352,0.9609986341736303,1,0
0,0.48111303950277706,0.049867620052000856,0,0
1,0.49393966590425803,0.9221197535159678,1,0
0,0.3624454812917132,0.04961956664128322,0,0
1,0.5919849563084895,0.22070369520946315,0,0
1,0.41414066331420135,0.1376270077010419,0,0
0,0.44452857378790905,0.04979381658202096,0,0
1,0.4085387759639915,0.9606211637848342,1,0
0,0.3603215106414675,0.049500879487094904,0,0
1,0.47783781529903463,0.7903564723937209,1,0
0,0.4559178161376707,0.04961277226510087,0,0
1,0.640180456415432,0.29053789699253185,0,0
1,0.39782746917187234,0.9609219122801367,1,0
1,0.5359516801287669,0.9611526644162748,1,0
0,0.38274188814727805,0.04963474089420077,0,0
0,0.45375048656315675,0.5271679383879527,-1,1
0,0.39457799525345894,0.04974268381116595,0,0
0,0.5585596433900298,0.0497052821439789,0,0
1,0.4893044819659369,0.9496851268465752,1,0
1,0.42519708621419344,0.9607989452396055,1,0
1,0.5349715638069745,0.960952121472777,1,0
0,0.4112817006253228,0.049433209547878096,0,0
1,0.42075923043453284,0.9610783639868359,1,0
0,0.5577218842119475,0.04959857795840794,0,0
0,0.5084743116689932,0.04980283664773065,0,0
1,0.49250316925651405,0.8246874676355918,1,0
0,0.40480310479857007,0.4062107820291194,-1,1
0,0.3786020319317337,0.049533479774154246,0,0
0,0.43694207401871193,0.060017817316357226,0,0
1,0.5609038625007372,0.9610357182294168,1,0
1,0.42592047575949654,0.8644338919762664,1,0
1,0.48585722806906395,0.9512204541915766,1,0
1,0.46150163321933346,0.9600861130167109,1,0
1,0.3690971791646099,0.9609987236726968,1,0
1,0.5728263985001607,0.9608735845039293,1,0
1,0.37402711028241337,0.9233344012843875,1,0
0,0.6265870934829699,0.04940821265667472,0,0
1,0.4353535202656812,0.7339881623440294,1,0
0,0.44402098197383155,0.04956407869543154,0,0
1,0.44238005284410686,0.9609637013234418,1,0
0,0.35706666706561363,0.04959408951787973,0,0
0,0.40406106675079473,0.10581197209295305,0,0
1,0.5389572788033198,0.9610157308659918,1,0
0,0.44683895298033943,0.4035917159317242,-1,1
0,0.4370652393368148,0.06477146404405706,0,0
1,0.4667224326077184,0.9610030306474052,1,0
1,0.5435463115365798,0.9608994028424027,1,0
0,0.4467624727271517,0.8756129328963473,1,0
1,0.3974808665241972,0.9607696880182734,1,0
1,0.4202668535606723,0.07930883406372484,0,0
1,0.4817197431076831,0.9610193941800904,1,0
1,0.5997337041772872,0.9610291208586825,1,0
0,0.49509510261459233,0.07103196018212427,0,0
0,0.6100038477339192,0.04967791283138044,0,0
1,0.6332520414287776,0.9610282256453867,1,0
0,0.3668756772060149,0.5539030599599692,0,0
1,0.3694334119122503,0.9610258537785201,1,0
0,0.5303379938024412,0.10578701517822156,0,0
0,0.5201226571062855,0.04966643923985899,0,0
1,0.3930788371508094,0.960764562325948,1,0
0,0.4062545684767016,0.06900359589537783,0,0
1,0.5372751319067943,0.959759284381972,1,0
0,0.6028958529490337,0.04952022323690761,0,0
0,0.4482614175688936,0.05013952730503049,0,0
1,0.44509679171562566,0.5374476529071133,-1,1
0,0.49245714259689427,0.049517807118407905,0,0
0,0.35594485720118324,0.049697836940687815,0,0
1,0.4236670698323592,0.9611091090501936,1,0
0,0.47335720981033114,0.049491457247683376,0,0
0,0.46686139235401697,0.36230892288613414,-1,1
0,0.4943876343519531,0.052367599070114276,0,0
1,0.5181381974638911,0.5280577475627133,-1,1
0,0.36008901785973474,0.06614311569777556,0,0
0,0.46133782405852614,0.049703670526123254,0,0
1,0.5955790291933359,0.9610199285875622,1,0
0,0.5416921026060271,0.04953148022571421,0,0
0,0.5138139230384813,0.04945426732761559,0,0
1,0.584561480867388,0.06716569208470163,0,0
0,0.44888310679223237,0.051349753769566596,0,0
0,0.550336841074303,0.05030344664081331,0,0
1,0.4036253863920855,0.9609867674443866,1,0
1,0.5650806865804303,0.961067063842716,1,0
1,0.3960096532237375,0.7364550885367243,1,0
0,0.5306387270815641,0.444703191174421,-1,1
1,0.5753210857752746,0.961049708260006,1,0
1,0.39502934180300897,0.9592726780595372,1,0
1,0.43900052259054423,0.9596096770341097,1,0
1,0.4101287538939241,0.9607268047172471,1,0
0,0.4321064513142321,0.04963354496557102,0,0
1,0.6107927313865367,0.947059074266617,1,0
0,0.531834674444931,0.050120442548534185,0,0
1,0.5601870451124044,0.87184981079714,1,0
0,0.6095257005524307,0.05008528496229745,0,0
1,0.6251721429453658,0.9507992993093988,1,0
1,0.4685958992508625,0.9594609572220347,1,0
0,0.5087011403755405,0.04968298439778734,0,0
0,0.41822920044051554,0.07857084095750884,0,0
1,0.4630850566390759,0.9531274057913016,1,0
0,0.38223014121450644,0.8821918616616358,1,0
1,0.4776566886877765,0.961061370701482,1,0
0,0.4550081909661151,0.7672537144635936,1,0
0,0.41410830744961985,0.06221529656876029,0,0
0,0.5223468781761751,0.2743642077201812,0,0
0,0.43340760414317286,0.049539572797224575,0,0
1,0.5913577657454036,0.9606189018904878,1,0
